
time;gFx;gFy;gFz;ax;ay;az;wx;wy;wz;Bx;By;Bz;Azimuth;Pitch;Roll;Gain;Latitude;Longitude;Speed (m/s);
0,039123;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0342;0,2272;0,6170;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-∞;0,00000000;0,00000000;0,00000000;
0,050111;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0342;0,2272;0,6170;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-∞;40,48085333;-4,07185833;0,13743083;
0,070131;-0,0064;-0,0178;1,0041;0,0000;0,0000;0,0000;-0,0342;0,2272;0,6170;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-∞;40,48085333;-4,07185833;0,13743083;
0,071362;-0,0064;-0,0178;1,0041;0,0000;0,0000;0,0000;-0,0342;0,2272;0,6170;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-∞;40,48085333;-4,07185833;0,13743083;
0,072028;-0,0064;-0,0178;1,0041;0,0000;0,0000;0,0000;-0,0342;0,2272;0,6170;13,3200;-37,1400;-44,2200;0,0000;0,0000;0,0000;-∞;40,48085333;-4,07185833;0,13743083;
0,090181;-0,0064;-0,0178;1,0041;0,0000;0,0000;0,0000;-0,0342;0,2272;0,6170;13,3200;-37,1400;-44,2200;0,0000;0,0000;0,0000;-∞;40,48085333;-4,07185833;0,13743083;
0,110061;-0,0064;-0,0178;1,0041;0,0000;0,0000;0,0000;-0,0018;-0,0006;-0,0006;13,3200;-37,1400;-44,2200;0,0000;0,0000;0,0000;-∞;40,48085333;-4,07185833;0,13743083;
0,130846;-0,0056;-0,0195;1,0043;0,0000;0,0000;0,0000;-0,0018;-0,0006;-0,0006;13,3200;-37,1400;-44,2200;0,0000;0,0000;0,0000;-∞;40,48085333;-4,07185833;0,13743083;
0,132874;-0,0056;-0,0195;1,0043;0,0000;0,0000;0,0000;-0,0018;-0,0006;-0,0006;13,3200;-37,1400;-44,2200;346,3231;1,1148;-0,3205;-∞;40,48085333;-4,07185833;0,13743083;
0,134782;-0,0056;-0,0195;1,0043;-0,0002;-0,0007;0,0379;-0,0018;-0,0006;-0,0006;13,3200;-37,1400;-44,2200;346,3231;1,1148;-0,3205;-∞;40,48085333;-4,07185833;0,13743083;
0,135932;-0,0056;-0,0195;1,0043;-0,0002;-0,0007;0,0379;-0,0018;-0,0006;-0,0006;13,3200;-37,1400;-44,2200;346,3231;1,1148;-0,3205;-∞;40,48085333;-4,07185833;0,13743083;
0,136887;-0,0056;-0,0195;1,0043;-0,0002;-0,0007;0,0379;-0,0018;-0,0006;-0,0006;13,2000;-36,8400;-44,2200;346,3231;1,1148;-0,3205;-∞;40,48085333;-4,07185833;0,13743083;
0,151186;-0,0056;-0,0195;1,0043;-0,0002;-0,0007;0,0379;-0,0024;-0,0006;-0,0012;13,2000;-36,8400;-44,2200;346,3231;1,1148;-0,3205;-∞;40,48085333;-4,07185833;0,13743083;
0,170030;-0,0056;-0,0195;1,0043;-0,0002;-0,0007;0,0379;-0,0018;-0,0012;-0,0012;13,2000;-36,8400;-44,2200;346,3231;1,1148;-0,3205;-∞;40,48085333;-4,07185833;0,13743083;
